Time window (ns),Coul-SR mean (kJ/mol),Coul-SR SD,LJ-SR mean (kJ/mol),LJ-SR SD,Total mean (kJ/mol),Total SD
0-5,-133.71,21.14,-184.66,13.13,-318.37,19.8
5-10,-92.57,37.79,-180.18,13.27,-272.75,32.44
10-15,-85.57,15.68,-180.53,10.79,-266.1,19.38
15-20,-72.0,21.04,-175.51,10.44,-247.51,24.86
